"STATION","NAME","DATE","DAPR","MDPR","MDSF","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WESD","WESF","WT03","WT04","WT08"
"USC00308380","SYRACUSE, NY US","1922-01-01",,,,"0.42","0.0","5.0","32","4",,,,,,
"USC00308380","SYRACUSE, NY US","1922-01-02",,,,"0.00","0.0","1.0","4","-5",,,,,,
"USC00308380","SYRACUSE, NY US","1922-01-03",,,,"0.23","0.0","3.0","18","1",,,,,,
"USC00308380","SYRACUSE, NY US","1922-01-04",,,,"0.16","0.0","0.0","44","14",,,,,,
"USC00308380","SYRACUSE, NY US","1922-01-05",,,,"0.07","0.0","0.0","50","33",,,,,,
"USC00308380","SYRACUSE, NY US","1922-01-06",,,,"0.00","0.0","0.0","33","23",,,,,,
"USC00308380","SYRACUSE, NY US","1922-01-07",,,,"0.03","0.0","0.0","24","17",,,,,,
"USC00308380","SYRACUSE, NY US","1922-01-08",,,,"0.00","0.0","0.0","37","19",,,,,,
"USC00308380","SYRACUSE, NY US","1922-01-09",,,,"0.01","0.0","0.0","42","31",,,,,,
"USC00308380","SYRACUSE, NY US","1922-01-10",,,,"0.02","0.0","0.0","38","20",,,,,,
"USC00308380","SYRACUSE, NY US","1922-01-11",,,,"1.69","0.0","13.0","21","11",,,,,,
"USC00308380","SYRACUSE, NY US","1922-01-12",,,,"0.12","0.0","4.0","20","12",,,,,,
"USC00308380","SYRACUSE, NY US","1922-01-13",,,,"0.02","0.0","0.0","21","10",,,,,,
"USC00308380","SYRACUSE, NY US","1922-01-14",,,,"0.00","0.0","0.0","25","19",,,,,,
"USC00308380","SYRACUSE, NY US","1922-01-15",,,,"0.00","0.0","0.0","41","20",,,,,,
"USC00308380","SYRACUSE, NY US","1922-01-16",,,,"0.00","0.0","0.0","22","16",,,,,,
"USC00308380","SYRACUSE, NY US","1922-01-17",,,,"0.00","0.0","0.0","33","13",,,,,,
"USC00308380","SYRACUSE, NY US","1922-01-18",,,,"0.20","0.0","2.0","40","22",,,,,,
"USC00308380","SYRACUSE, NY US","1922-01-19",,,,"0.13","0.0","0.0","45","28",,,,,,
"USC00308380","SYRACUSE, NY US","1922-01-20",,,,"0.00","0.0","0.0","28","19",,,,,,
"USC00308380","SYRACUSE, NY US","1922-01-21",,,,"0.26","0.0","2.0","27","23",,,,,,
"USC00308380","SYRACUSE, NY US","1922-01-22",,,,"0.09","0.0","0.0","29","7",,,,,,
"USC00308380","SYRACUSE, NY US","1922-01-23",,,,"0.05","0.0","1.0","11","2",,,,,,
